processed_tweets,class,neutralized_tweets
bitch you frooooontin bitch you frooooontin lol,1,person you frooooontin person you frooooontin lol
rt lowkey called that faggot a faggot,0,rt lowkey called that person a person
cruisin round the street in my jockin the bitches slappin the hoes,1,cruisin round the street in my jockin the person slappin the people
bitch get that job first,1,person get that job first
rt i was in her while her nigger was in there makin dinner,1,rt i was in her while her nigger was in there makin dinner
no paper hoe but you can have some more of me,1,no paper people but you can have some more of me
rt big dreams cause that small goal shit is for the birds,1,rt big dreams cause that small goal stuff is for the birds
update three arrsted after german gay guy left in critical condition after being fag bashed in belgrade,1,update three arrsted after german gay guy left in critical condition after being person bashed in belgrade
nigga fuck you some plano schools go hard then a bitch way better than richardson,1,person messing around you some plano schools go hard then a person way better than richardson
your ex wife s pussy tastes like sweet butter theshield,1,your ex wife s pussy tastes like sweet butter theshield
rt i m one of those faggots who hates the word mines,1,rt i m one of those faggots who hates the word mines
rt you got niggas amp i got bitches,0,rt you got person amp i got person
rt when a bad bitch asks you to come over,1,rt when a bad person asks you to come over
rt say dat shit again rt bad bitches hate broke niggaz but you knew that already,1,rt say dat stuff again rt bad person hate broke niggaz but you knew that already
rt ps a big booty hoe with tig ol bitties xbox one pancake booty hoe with pancake tits,1,rt ps a big booty people with tig ol bitties xbox one pancake booty people with pancake tits
things i cant stand while dealing with a bitch a hit feet b stank ass breath c skank ass ways,1,things i cant stand while dealing with a person a hit feet b stank person breath c skank person ways
i m really nice but a bitch at times,1,i m really nice but a person at times
spiff tryna hoe,1,spiff tryna people
niggas living like hoes dats why dey dying bout nothing,1,person living like people dats why dey dying bout nothing
my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers,1,my cousin said he share people with his brothers he said sharing is caring and he love his brothers
rt hood hoes love harrell football team,1,rt hood people love harrell football team
fuck that hoe thats exactly what dese hoes doin gettin fucked nd yall niggas the one to blame,0,messing around that people thats exactly what dese people doin gettin messing around nd yall person the one to blame
lmaoo i think i want this bitch ya me tiene cansada but thanks wait hold up who u fighting,1,lmaoo i think i want this person ya me tiene cansada but thanks wait hold up who u fighting
crazy bitch i like the way you ride this dick,1,crazy person i like the way you ride this dick
rt fucc hoes dats how i feel,1,rt fucc people dats how i feel
rico be bored then a bitch damn boy you watch me more than these hoes do,1,rico be bored then a person damn boy you watch me more than these people do
rt lawd twitter will humble the fuck out of a hoe so quick,1,rt lawd twitter will humble the messing around out of a people so quick
lmao trifling ass bitch,1,lmao trifling person person
thats just me rooting against a team i hate not banwagoning u retard u have a different favorite,0,thats just me rooting against a team i hate not banwagoning u retard u have a different favorite
pussy put yo ass to sleep now i m calling you nyquil,1,pussy put yo person to sleep now i m calling you nyquil
when they bitch about carbon emissions tell them to stop breathing because exhaling adds carbon dioxide to the atmosphere,1,when they person about carbon emissions tell them to stop breathing because exhaling adds carbon dioxide to the atmosphere
if only there was a medal for that we hate fags but we won t kill them medal thank u for the privilege to let fags live,0,if only there was a medal for that we hate fags but we won t kill them medal thank u for the privilege to let fags live
most them niccas i thought was real tried to derail me,1,most them niccas i thought was real tried to derail me
the nerve of these hoes,1,the nerve of these people
pisses me off so much when brett screams fag or whore out the window at people,1,pisses me off so much when brett screams person or whore out the window at people
no i don t love these hoes and fuck these niggas fuckem,1,no i don t love these people and messing around these person fuckem
the tl talkin about eatin pussy and u watchin soccer ur a grade a faggot rt this game is crazy,1,the tl talkin about eatin pussy and u watchin soccer ur a grade a person rt this game is crazy
nice ears bitch you look like a god damn elephant,1,nice ears person you look like a god damn elephant
it s gotten to the point where i literally don t care and i m gonna start punching bitches if they don t move in the hallway,1,it s gotten to the point where i literally don t care and i m gonna start punching person if they don t move in the hallway
what s up my bitches shout out from your momz in cali keep doin what u do loveit,1,what s up my person shout out from your momz in cali keep doin what u do loveit
might need you to pummel a bitch,1,might need you to pummel a person
mmmm sure dont seem like it lmfao but yess ill be that bitch now are you done,1,mmmm sure dont seem like it lmfao but yess ill be that person now are you done
rt wetin happen our school will just be behaving like pussies,1,rt wetin happen our school will just be behaving like pussies
rt well there s crazy bitch and there s you can look for that motherfucker s corpse but you won t find,1,rt well there s crazy person and there s you can look for that motherfucker s corpse but you won t find
correction he better bring one classy bitch home because momma ain t going to be dealing with random hoes in the house,1,correction he better bring one classy person home because momma ain t going to be dealing with random people in the house
lmfao bitch was i talking to you,1,lmfao person was i talking to you
cute japanese teen gets her tiight pussy fucked while sucking cock,1,cute japanese teen gets her tiight pussy messing around while sucking cock
dope in the bag pretty bitch on the side,1,dope in the bag pretty person on the side
god bless the dumb niggas who trust these hoes,1,god bless the dumb person who trust these people
you guys are all faggots,1,you guys are all faggots
hate a female that got the mentality of a niggah,1,hate a female that got the mentality of a person
rt i woke up with a sore throat im cold niggers will be niggers so terrible,0,rt i woke up with a sore throat im cold niggers will be niggers so terrible
what about the doc he s a pussy he ain t going anywhere,1,what about the doc he s a pussy he ain t going anywhere
that s not how you resist you worthless retard do you need a dictionary,1,that s not how you resist you worthless retard do you need a dictionary
omggggg nigga said jerry black bitch,1,omggggg person said jerry black person
all my white school teachers back in elementary knew not to give me no pussy i m telling all of my niggas,1,all my white school teachers back in elementary knew not to give me no pussy i m telling all of my person
it s bitches need to be ready for the d fellaz don t play they games let that high school tease shit last a day swag,1,it s person need to be ready for the d fellaz don t play they games let that high school tease stuff last a day swag
oh you sneaky son of a bitch you,1,oh you sneaky son of a person you
rt fuck michigan too many wanna be thugs if you ask me y all pussy i m out this bitch next year,1,rt messing around michigan too many wanna be thugs if you ask me y all pussy i m out this person next year
ruga bussed yo bitch bowbow,1,ruga bussed yo person bowbow
if she dont appreciate that and say yes the bitch aint real,1,if she dont appreciate that and say yes the person aint real
that nigguh will never play football again,1,that nigguh will never play football again
rt fucking pussy that s why exactly let me the nigga were talking about,1,rt messing around pussy that s why exactly let me the person were talking about
dawg what the fuck happened to so and so where did they go too worried bout bitches and fashion they go missing in action,1,dawg what the messing around happened to so and so where did they go too worried bout person and fashion they go missing in action
imma bitch i know leave me alone,1,imma person i know leave me alone
rt if this bitch don t just go through the freaking packet,1,rt if this person don t just go through the freaking packet
rt bring winter back this degrees at am shit is for the birds get the fukkk outta here bro,1,rt bring winter back this degrees at am stuff is for the birds get the fukkk outta here bro
rt gimmmmmie a hoodrat bitch,1,rt gimmmmmie a hoodrat person
she s wearing the same shirt what a bitch,1,she s wearing the same shirt what a person
audio happy valentines day bitches now play this while you get laid,1,audio happy valentines day person now play this while you get laid
did you smile like a retard when you were a kid it took me till like th grade before i learned how to naturally smile,1,did you smile like a retard when you were a kid it took me till like th grade before i learned how to naturally smile
thought to myself sheeba sheeba got my ass lookin like a zebra,1,thought to myself sheeba sheeba got my person lookin like a zebra
rt lmaoo rt that s a legal tackle faggot rt seriously,0,rt lmaoo rt that s a legal tackle person rt seriously
rt you put my number on blocklist how can i stop this convert them mfs i ll make all them hoes topless,1,rt you put my number on blocklist how can i stop this convert them mfs i ll make all them people topless
oh it was multiple dna on ol girl man they ran a train on that hoe,1,oh it was multiple dna on ol girl man they ran a train on that people
unpredictable is an excuse for retarded,1,unpredictable is an excuse for retarded
dirty hoe,1,dirty people
ain t trusting no bitch or no nigga hoe or no sucka,1,ain t trusting no person or no person people or no sucka
girls the days be confused hoes ain t nobody got time fo that,1,girls the days be confused people ain t nobody got time fo that
can t keep a shallow bitch if ya pockets ain t deep,1,can t keep a shallow person if ya pockets ain t deep
all i see is bruno s bitch ass on my twitter now wtf bruno s all that she sees drake voice,1,all i see is bruno s person person on my twitter now what bruno s all that she sees drake voice
bad bitch with me trying to blow me like a fuse,1,bad person with me trying to blow me like a fuse
rt man most of you coons couldn t jus up in quit yo job if you found out ya boss racist so shut tha fucc up niggas love,0,rt man most of you coons couldn t jus up in quit yo job if you found out ya boss racist so shut tha fucc up person love
perfect smoking weather haha bro i ain t even in my hood yet and i already got hoes trying to say was up from other towns,1,perfect smoking weather haha bro i ain t even in my hood yet and i already got people trying to say was up from other towns
ima knock the pussy out like fight night,1,ima knock the pussy out like fight night
bitch yu not safe,1,person yu not safe
waaaaittt niggah holllll up these niggahs come to town start wife n my old sluts,1,waaaaittt person holllll up these niggahs come to town start wife n my old sluts
just fuckin roasted this faggot,0,just fuckin roasted this person
that bitch should be in jail for that,1,that person should be in jail for that
i like good weed i like bad bitches that can roll it,1,i like good weed i like bad person that can roll it
my mentions amp tl moving fast af sorry if i m flooding yo shit i m lowkey tryna get off this hoe for yall,1,my mentions amp tl moving fast af sorry if i m flooding yo stuff i m lowkey tryna get off this people for yall
me and my homie rockin that bitch all night meetushere now,1,me and my homie rockin that person all night meetushere now
rt lmfaoooooooooo trash ass falcants rt lmfaooooooooooo ya stink,1,rt lmfaoooooooooo trash person falcants rt lmfaooooooooooo ya stink
rt don t ever be afraid to double bitch down ppl always expect you to be like i m sorry if i got loud or i m sorry to s,1,rt don t ever be afraid to double person down ppl always expect you to be like i m sorry if i got loud or i m sorry to s
rt anyone and everyone can have my ex fuck that hoe,1,rt anyone and everyone can have my ex messing around that people
holy shit the retard episode of wheel of fortune again fantastic,1,holy stuff the retard episode of wheel of fortune again fantastic
then the mexican bitch wanna speak some other fuckin language amp then give attitude can t speak right ass tf,1,then the mexican person wanna speak some other fuckin language amp then give attitude can t speak right person tf
i b so quick to dub a bitch it s sad,1,i b so quick to dub a person it s sad
guess who s a little bitch,1,guess who s a little person
rt niggas tweet about wanting a good girl while giving hoes attention all day,1,rt person tweet about wanting a good girl while giving people attention all day
now bitch you know lmaooo,1,now person you know lmaooo
rt bitches be in th grade talking about i miss bae naw bitch you missed graduation,1,rt person be in th grade talking about i miss bae naw person you missed graduation
lol that hoe for yr old,1,lol that people for yr old
why yall bitches be havin stretch marks on yall upper ass,1,why yall person be havin stretch marks on yall upper person
rt a hoe only cares about the now the future is irrelevant,1,rt a people only cares about the now the future is irrelevant
yea cause i showed ya bitch ass,1,yea cause i showed ya person person
ask tht bitch when she gon let a yung nigga blast tht ass,1,ask tht person when she gon let a yung person blast tht person
fuck bitches get money,1,messing around person get money
y all be some crazy white bitches i wants to lay down wit you bowf,1,y all be some crazy white person i wants to lay down wit you bowf
rt mfz in this bitch sellin chicken wings amp fries,1,rt mfz in this person sellin chicken wings amp fries
he got a cousin named jason that rock da gary payton now da same triflin bitches an hiv patient,1,he got a cousin named jason that rock da gary payton now da same triflin person an hiv patient
you still are a cunt,1,you still are a cunt
only like bitches ran for homecoming but like running for prom,1,only like person ran for homecoming but like running for prom
laughin at my screenshots no bitch this might be a code red,1,laughin at my screenshots no person this might be a code red
rt tyga makes you think about fucking a bunch of bad bitches j cole makes you motivated drake makes you wanna think abou,1,rt tyga makes you think about messing around a bunch of bad person j cole makes you motivated drake makes you wanna think abou
that s ya bm tho rt that ain t my hoe,1,that s ya bm tho rt that ain t my people
rt if i wanted my ex back believe me i d fucking go get they ass but i ain t bout to dig through the trash,1,rt if i wanted my ex back believe me i d messing around go get they person but i ain t bout to dig through the trash
i can fuck yo bitch and you can t,1,i can messing around yo person and you can t
rt i need a loyal bitch not no goofy bitch,1,rt i need a loyal person not no goofy person
rt the same people that be calling people hoes be the main ones sucking dick for a chalupa worry bout you,1,rt the same people that be calling people people be the main ones sucking dick for a chalupa worry bout you
thank you so much it was a bitch move of her to pull but thank you,1,thank you so much it was a person move of her to pull but thank you
rt you ex bitches need to realize,1,rt you ex person need to realize
is that ya bitch,1,is that ya person
i call those my ghetto nunchucks the reason i went jail as well,1,i call those my ghetto nunchucks the reason i went jail as well
i ll beat the pussy up that s a hook right thur,1,i ll beat the pussy up that s a hook right thur
i can t take yo bitch if i can t see yo bitch,1,i can t take yo person if i can t see yo person
put your money up pussy,1,put your money up pussy
yeah hoe,1,yeah people
rt this burger days old but i eat yr old pussy so i should be fine right,1,rt this burger days old but i eat yr old pussy so i should be fine right
rt if preferring to be barefoot makes me a basic bitch sign me up do i get a free mason jar,1,rt if preferring to be barefoot makes me a basic person sign me up do i get a free mason jar
i bought him a sumblime shirt for his birthday too i kinda wanna be a cunt and ask for it back lol indiangiver,1,i bought him a sumblime shirt for his birthday too i kinda wanna be a cunt and ask for it back lol indiangiver
i m just salty bitch,1,i m just salty person
no one knows the words to that song they only know the sexy saxophone george michael is a pussy,1,no one knows the words to that song they only know the sexy saxophone george michael is a pussy
without the hoes it was gonna be hard for us to pick out good women so hoes you doing a good job keep on hoeing,1,without the people it was gonna be hard for us to pick out good women so people you doing a good job keep on hoeing
when jake was mad happy and hugged muscle faced renee russo at the end of i was like yeah them bitches bout to win it all,1,when jake was mad happy and hugged muscle faced renee russo at the end of i was like yeah them person bout to win it all
swear to god man niggas talk more than bitches these days,1,swear to god man person talk more than person these days
these niggas be actin like bitches,1,these person be actin like person
rt i might be ugly but my hoes ain t trippin,1,rt i might be ugly but my people ain t trippin
nigger mad,1,nigger mad
just landed in orlando the flight was as bumpy as a bitch,1,just landed in orlando the flight was as bumpy as a person
get it bc you called yourself a tool i called you a hoe bc hoes are tools hahahaha i m so funny,1,get it bc you called yourself a tool i called you a people bc people are tools hahahaha i m so funny
tom ford probably fucking all these hoes,1,tom ford probably messing around all these people
oomf so fuckin fine tho dam her don t be no bitch,1,oomf so fuckin fine tho dam her don t be no person
rt lol robbing ain t the word damn you was robbing them bitches,1,rt lol robbing ain t the word damn you was robbing them person
basic niggah in his basic clothing,1,basic person in his basic clothing
people hate on da rig life but i love my baby more then a pussy ass nigguh,1,people hate on da rig life but i love my baby more then a pussy person nigguh
thats why the hoes love her they can relate to being lonely amp depressed lol,1,thats why the people love her they can relate to being lonely amp depressed lol
drop dead gorgeous a bitch ain t dying for a nigga,1,drop dead gorgeous a person ain t dying for a person
bitch please not gonna happen nope,1,person please not gonna happen nope
rt oomf pregnant from dat dog in the hood dat chase erbody real funny bitch,1,rt oomf pregnant from dat dog in the hood dat chase erbody real funny person
living with my bitches live,1,living with my person live
idgaf man fuck them hoes they nice to look at but they ain t for me,1,idgaf man messing around them people they nice to look at but they ain t for me
whatever turn them hoes on z ro ain t gone get the bitch wet,1,whatever turn them people on z ro ain t gone get the person wet
because idk if your still tryna get with her again or not bitch i might be,1,because idk if your still tryna get with her again or not person i might be
don t let idiots that can t even spell retarded get you down,1,don t let idiots that can t even spell retarded get you down
rt money over the best pussy,1,rt money over the best pussy
rt tori better watch out from her hoes she s gonna get caught up,1,rt tori better watch out from her people she s gonna get caught up
hoes these days,1,people these days
jay z got of the baddest eva that proves men don t really need to look good to pull these hoes want security,1,jay z got of the baddest eva that proves men don t really need to look good to pull these people want security
ibs irritable bitch syndrome,1,ibs irritable person syndrome
a bird just smacked right into my car window my parked car window scared the fuck outta me,1,a bird just smacked right into my car window my parked car window scared the messing around outta me
the weeknd is why bitches love dark skin fellas now,1,the weeknd is why person love dark skin fellas now
rt bitches b tweeting everything they see to b relavent its really sad,1,rt person b tweeting everything they see to b relavent its really sad
alice took advantage of me last night that bitch won t tonight,1,alice took advantage of me last night that person won t tonight
bitches are gonna make it rain on me,1,person are gonna make it rain on me
bruh we was my fam nd yeah pussy niggas get no respect,1,bruh we was my fam nd yeah pussy person get no respect
call of duty out this bitch,1,call of duty out this person
rt aye everyone buy some bombass brownies tomorrow from my wigga they don t contain marijuana b,1,rt aye everyone buy some bombass brownies tomorrow from my wigga they don t contain marijuana b
nuggas be to obsessed with the homies like the cant bag bitches,1,nuggas be to obsessed with the homies like the cant bag person
rt just a week ago yall hoes wasn t sucking dick now yall all pros at it huj,1,rt just a week ago yall people wasn t sucking dick now yall all pros at it huj
yaz bitch yaz,1,yaz person yaz
rt bitches eat mad beef drink henny and do the shmoney dance that s why they pussy always stink,1,rt person eat mad beef drink henny and do the shmoney dance that s why they pussy always stink
rt lmaooooooo rt what dum bitch made this,1,rt lmaooooooo rt what dum person made this
rt to be honest niggas are the biggest roaches these days they be with bitches just to have someone to put shit in their,1,rt to be honest person are the biggest roaches these days they be with person just to have someone to put stuff in their
lmao rt tempted to send this fuckin hoe lmao,1,lmao rt tempted to send this fuckin people lmao
i m such a bitch to austin,1,i m such a person to austin
gave dat bitch da spirit of the dragon,1,gave dat person da spirit of the dragon
becuz no man should celebrate his bday at a drreams faggot,0,becuz no man should celebrate his bday at a drreams person
yo bitch on the horn tryna shoot a porn that s t shirt worthy tony,1,yo person on the horn tryna shoot a porn that s t shirt worthy tony
you gunna let that bitch do you like that,1,you gunna let that person do you like that
rt boosie said he got a bitch from the sip thots are gonna have boosie s bitch in da sip in their bio now bethiphopawards,1,rt boosie said he got a person from the sip thots are gonna have boosie s person in da sip in their bio now bethiphopawards
you got some more hoe,1,you got some more people
shut up bitch,1,shut up person
some cunt go get me amber leaf and papers cani be arsed walking to nisa lazy,1,some cunt go get me amber leaf and papers cani be arsed walking to nisa lazy
y all wake tf up y all are pussies it s summer time turn tf up,1,y all wake tf up y all are pussies it s summer time turn tf up
lol at this bitch ass boy telling me how to respond to peer pressure for values of peer pressure that equal being called a groupie,1,lol at this person person boy telling me how to respond to peer pressure for values of peer pressure that equal being called a groupie
porn android iphone ipad sex xxx anal blonde tranny ass fucked,1,porn android iphone ipad sex xxx anal blonde transgender person person messing around
rt if i was a top tier mc i would publicly announce that the point of my tour is to have sex w the baddest bitches of each cit,1,rt if i was a top tier mc i would publicly announce that the point of my tour is to have sex w the baddest person of each cit
rt you don t want to get treated like a ho stop dressing like one if you want to stop getting treated like a thug,1,rt you don t want to get treated like a ho stop dressing like one if you want to stop getting treated like a thug
rt never cared about how another bitch saw me i know who i am,1,rt never cared about how another person saw me i know who i am
not what i said i want a dj to mix the track regardless for their own use the video gon be dumb retarded with the reg versi,1,not what i said i want a dj to mix the track regardless for their own use the video gon be dumb retarded with the reg versi
rt i don t know a bitch in the world that claim they too busy for a nigga they really fuck with,1,rt i don t know a person in the world that claim they too busy for a person they really messing around with
someone told me cuz some ppl like to use it as bitch some females don t like being calles female but meh shrugs,1,someone told me cuz some ppl like to use it as person some females don t like being calles female but meh shrugs
i think you ve made it clear that these hoes ain t loyal,1,i think you ve made it clear that these people ain t loyal
betta ask round these streets bitch bout jay,1,betta ask round these streets person bout jay
fuck all that some bitches so disrespectful they don t care they will talk fuck ya boyfriend and still speak to the girlfriend,1,messing around all that some person so disrespectful they don t care they will talk messing around ya boyfriend and still speak to the girlfriend
karma is a bitch the tables will turn even if the person want it to or not you can t stop it either,1,karma is a person the tables will turn even if the person want it to or not you can t stop it either
go cry about it joey just like the little bitch you are,1,go cry about it joey just like the little person you are
fuck you faggot,0,messing around you person
rt ain t got time for stupid bitches,1,rt ain t got time for stupid person
hell yea went from i love you to fuck you and that basic bitch,1,hell yea went from i love you to messing around you and that basic person
uh i think his mom loves him you fucking retard i m sure your gunna be so successful emilie we all believe,1,uh i think his mom loves him you messing around retard i m sure your gunna be so successful emilie we all believe
shut up bitch i wasn t gonna roast,1,shut up person i wasn t gonna roast
how my bestf gon call me people like ima regular niggah to her now smh,1,how my bestf gon call me people like ima regular person to her now smh
sounds like a good idea but i want my word to be spread jews niggers and commies alike,0,sounds like a good idea but i want my word to be spread jews niggers and commies alike
nigger,0,nigger
you did a good job doing that to me and not texting back faggot,0,you did a good job doing that to me and not texting back person
gov rick scott kicks charlie crist s ass,1,gov rick scott kicks charlie crist s person
dad why are your eyes so red son i smoked weed dad dad don t lie to me you were crying because you are a faggot,1,dad why are your eyes so red son i smoked weed dad dad don t lie to me you were crying because you are a person
man i can t stop looking at this hoe twerking on my facebook,1,man i can t stop looking at this people twerking on my facebook
they told me to fuc wit bitches but never trust em they told me they my niggas but i never trust em,1,they told me to fuc wit person but never trust em they told me they my person but i never trust em
lmao these hoes,1,lmao these people
no that s fucking retarded are you drinking tonight or not,1,no that s messing around retarded are you drinking tonight or not
that bitch looked wierd,1,that person looked wierd
got ah tight schedule fuck ur bitch just met her,1,got ah tight schedule messing around ur person just met her
just called a basketball player out for the fade on twitter cuz dat pussy nigguh live in georgia come get me bitch,1,just called a basketball player out for the fade on twitter cuz dat pussy nigguh live in georgia come get me person
rt ratchet hoes wear flip flops that curl up and turned black like souls of slaves walked in them,1,rt ratchet people wear flip flops that curl up and turned black like souls of slaves walked in them
rt stop respecting women who admit to having a hoe phase,1,rt stop respecting women who admit to having a people phase
tired of these hoes breathing my air,1,tired of these people breathing my air
rt i see you subtweeting me hoe,1,rt i see you subtweeting me people
we ll be together yu gt a job hoe,1,we ll be together yu gt a job people
a hour you re home and chillin and i m working pussy,1,a hour you re home and chillin and i m working pussy
i am such a pussy,1,i am such a pussy
steph curry looked like a little bitch gettin handled like a rag doll lmfaooo,1,steph curry looked like a little person gettin handled like a rag doll lmfaooo
y all i m so mad i wasted them calories on that honey bun that ho was dry as hell,1,y all i m so mad i wasted them calories on that honey bun that ho was dry as hell
rt i will fight a bitch for austin that s my gringo right there ain t no one messing with my white chocolate drop,1,rt i will fight a person for austin that s my gringo right there ain t no one messing with my white chocolate drop
rt niggas ain t shit but hoes with dicks,1,rt person ain t stuff but people with dicks
you mad cuz i was in the van with yo bitch with both hands on her tits,1,you mad cuz i was in the van with yo person with both hands on her tits
well jhud is giving me bae just got home from work and ima throw the pussy at him,1,well jhud is giving me bae just got home from work and ima throw the pussy at him
niggas aint worried bout other niggas messin wit dey hoes niggas worried boit hoes messin wit dey hoes,1,person aint worried bout other person messin wit dey people person worried boit people messin wit dey people
dislike people who bitch about other people being in relationships dislike people who bitch about people being single,1,dislike people who person about other people being in relationships dislike people who person about people being single
quit blowing up my feed bitches,1,quit blowing up my feed person
little bitch,1,little person
up making plays can i have my slut bitch girlfriend u always rap about back yet,1,up making plays can i have my slut person girlfriend u always rap about back yet
rt that hoe wanta,1,rt that people wanta
rt tyga used to be good before he got into this swag fag shit,1,rt tyga used to be good before he got into this swag person stuff
rt niggas gossip like hoes most of em bitches,1,rt person gossip like people most of em person
fam telling bitches you re sterile so you can hit em raw gt gt gt gt gt gt,1,fam telling person you re sterile so you can hit em raw gt gt gt gt gt gt
bitches love some alex from target,1,person love some alex from target
when my teacher says basic algebra i think of basic bitches,1,when my teacher says basic algebra i think of basic person
so yesterday i ran into a dude i went to high school with amp he used to be skinny as hell now omg same fucker who slit my tires years ago,1,so yesterday i ran into a dude i went to high school with amp he used to be skinny as hell now omg same fucker who slit my tires years ago
rt i believe there s a hood in heaven cause the devil gots a bad bitch,1,rt i believe there s a hood in heaven cause the devil gots a bad person
my life is going to a bitch for short weeks,1,my life is going to a person for short weeks
we salute the vets tuesday jihadi bitch slaying mk m s fired at taliban cockroaches du tcot pjnet,1,we salute the vets tuesday jihadi person slaying mk m s fired at taliban cockroaches du tcot pjnet
lmaoooooo rt rt dre really is a big sloppy bitch he s fat as shit,1,lmaoooooo rt rt dre really is a big sloppy person he s fat as stuff
i love when the pussy smacking an it sound like u mixing spaghetti,1,i love when the pussy smacking an it sound like u mixing spaghetti
if you said more today on the internet about duck dynasty than about the northwestimperative you re a useless whigger,1,if you said more today on the internet about duck dynasty than about the northwestimperative you re a useless whigger
rt bitch be working and keep singing like she ain t never bust a move,1,rt person be working and keep singing like she ain t never bust a move
buddy a fruit brandon said you a dirty ass coon,1,buddy a fruit brandon said you a dirty person coon
i can turn yo bitch into a eaterrrrrrrrr,1,i can turn yo person into a eaterrrrrrrrr
ray rice had that bitch of the xans and the lean all in one punch,1,ray rice had that person of the xans and the lean all in one punch
so to dodge them niggas dont brag dont boast dont flash for hoes dont sag so low thats how u end uo in correctional like u answered wrong,1,so to dodge them person dont brag dont boast dont flash for people dont sag so low thats how u end uo in correctional like u answered wrong
fuck you bruh ima look at your young bitch,1,messing around you bruh ima look at your young person
unfortunately you are correct sir still eat shit and die though bitch,1,unfortunately you are correct sir still eat stuff and die though person
rt when a bitch get you fucked up,1,rt when a person get you messing around up
rt what does the fox say bitch,1,rt what does the fox say person
i know bout yo wack ass dreads nigger,1,i know bout yo wack person dreads nigger
it s my mans birthday all the big booty bitches show him some love,1,it s my mans birthday all the big booty person show him some love
and my mom was really getting me a car smh hoe f u for dat,1,and my mom was really getting me a car smh people f u for dat
seconds from the end what s it gonna be pull the trigger bitch,1,seconds from the end what s it gonna be pull the trigger person
i want to beat this bitches ass soooo bad,1,i want to beat this person person soooo bad
bitch kill yoself go on to the bathroom and eat the pills bitch all of em,0,person kill yoself go on to the bathroom and eat the pills person all of em
my real lil bro even tho cuh a bitch lmao,1,my real lil bro even tho cuh a person lmao
my dogs man i remember ok girl text my phone on they bs squads was ready deep thenna bitch ready to go,1,my dogs man i remember ok girl text my phone on they bs squads was ready deep thenna person ready to go
fight that shit say you re on free lunch and they must have the game fucked up cause you re colored like the rest of them,1,fight that stuff say you re on free lunch and they must have the game messing around up cause you re colored like the rest of them
all the real gangsters knoww nate aint never loved no hoe,1,all the real gangsters knoww nate aint never loved no people
why the most ratchet bitches be talkin shit y all got nothing better to do but talk shit pick up the liq and hop on a dick,1,why the most ratchet person be talkin stuff y all got nothing better to do but talk stuff pick up the liq and hop on a dick
you re such a retard i hope you get type diabetes and die from a sugar rush you fucking faggot,0,you re such a retard i hope you get type diabetes and die from a sugar rush you messing around person
bitches know they bitches bitch,1,person know they person person
oh my god oh my god i m going to a bitch mob party today oh my god,1,oh my god oh my god i m going to a person mob party today oh my god
pretty close trash ass nigga quote this and i ll guess your body count,1,pretty close trash person person quote this and i ll guess your body count
its a million bad bitches in this world and you stucc on stupid,1,its a million bad person in this world and you stucc on stupid
ay nigguh so when ya coming back,1,ay nigguh so when ya coming back
get these hoe ass fuckboys off the stage vmas,1,get these people person fuckboys off the stage vmas
rt never hurt your girlfriend to make a hoe happy djmemphis,1,rt never hurt your girlfriend to make a people happy djmemphis
this bitch is so annoying,1,this person is so annoying
lol niccas remember the ginyu force,1,lol niccas remember the ginyu force
fuck u nigger,0,messing around u nigger
rt claw that ass when u see that bitch who was talkin shit on twitter in public,1,rt claw that person when u see that person who was talkin stuff on twitter in public
lmao your just a dumb hoe that budden made popular please stop your irrelevant and no one cares about you slut,1,lmao your just a dumb people that budden made popular please stop your irrelevant and no one cares about you slut
pizza a salad and alcohol is all i want my cravings need to be met or i m a rude bitch,1,pizza a salad and alcohol is all i want my cravings need to be met or i m a rude person
never give a bitch the impression that u need them,1,never give a person the impression that u need them
these hoes get thick n fat confused way more than often,1,these people get thick n fat confused way more than often
okay and melo bitch,1,okay and melo person
rt if your man is happy in his next relationship your fucked up ways are a blessing bitch,1,rt if your man is happy in his next relationship your messing around up ways are a blessing person
rt how s it taste mothafucker mmmhmmm bitch,1,rt how s it taste mothafucker mmmhmmm person
karma is theeeee biggest bitch,1,karma is theeeee biggest person
damn some oreos would be so fucking clutch right now,1,damn some oreos would be so messing around clutch right now
beat the pussy up till its red like rosters and after i fuck i get to moovin like the hoovas,1,beat the pussy up till its red like rosters and after i messing around i get to moovin like the hoovas
real niccas relate fuk niccas perpetrate,1,real niccas relate fuk niccas perpetrate
take like tamu bitches jumped to after beating sc which ain t that good,1,take like tamu person jumped to after beating sc which ain t that good
haha because i m too cool for them hoes lmao jk i got reported supposedly that i was a fake account,1,haha because i m too cool for them people lmao jk i got reported supposedly that i was a fake account
i confess gt degenerateartist and rebelscience is the walrus who sneaks pussy in the night gt i am artist paints your wife with bastards gt,1,i confess gt degenerateartist and rebelscience is the walrus who sneaks pussy in the night gt i am artist paints your wife with bastards gt
your vaginal walls are inflammed by a fuck nigga that s fucking you and a few other bitches cut em as you complete your treatment,1,your vaginal walls are inflammed by a messing around person that s messing around you and a few other person cut em as you complete your treatment
rt you re a faggot if you ever had the kim possible bbm notification,1,rt you re a person if you ever had the kim possible bbm notification
at the end of the day they call yo dumb ass monkey picka nanny hoe but u luv them white devils,0,at the end of the day they call yo dumb person monkey picka nanny people but u luv them white devils
papoose is trash bro lol,1,papoose is trash bro lol
these hoes don t get me in my feelings one bit,1,these people don t get me in my feelings one bit
